Citations,Publication Year,Discipline,Sub-topic,Title,Author,Key,Abstract Note,Language
0,2018,political_philosophy,Constitutive,Self-censorship for democrats,"Festenstein, Matthew",9Z46PL4G,"On the face of it, self-censorship is profoundly subversive of democracy, particularly in its talk-centric forms, and undermines the culture of openness and publicity on which it relies. This paper has two purposes. The first is to develop a conception of self-censorship that allows us to capture what is distinctive about the concept from a political perspective and which allows us to understand the democratic anxiety about selfcensorship: if it is not obvious that biting our tongues is always wrong, we need a fuller account of the moral sensibility that finds it so troubling and this is elaborated here. The second is to develop an argument to the effect that this sensibility should not have the last, or only, word, but instead that self-censorship should be viewed as an ‘ordinary vice’ of democratic societies. The grounds for tolerating it rest on the democratic values that critics believe it threatens.",en
561,2019,sociology_anthropology,Constitutive,"Permitted and prohibited desires: Mothers, comics, and censorship in Japan",A Allison,LV9MM8GW,"Desire is both of and beyond the everyday. In an ad for running shoes, for example, the figure of a man jogging at dawn on the Serengeti Plain both evokes a fantasyof escape and …",en
81,2020,communication_media_studies,Constitutive,Conformity of Eating Disorders through Content Moderation,"Feuston, Jessica L.; Taylor, Alex S.; Piper, Anne Marie",VNPYXFES,"For individuals with mental illness, social media are considered spaces for sharing and connection. However, not all expressions of mental illness are treated equally on these platforms. Different aggregates of human and technical control are used to report and ban content, accounts, and communities. Through two years of digital ethnography, including interviews with people with eating disorders, we examine the experience of content moderation. Our analysis shows that the practices of moderation available on different platforms have particular consequences for members of marginalized groups, who are pressured to conform and compelled to resist, such as through the subversion of platform features and collective action. Above all, we argue that platform moderation is enmeshed with wider processes of conformity to mental illness and body image. Practices of moderation reassert certain bodies and experiences as ‘normal’ and valued, while rejecting others. At the same time, practices of navigation around and resistance to these normative pressures further inscribe individuals as on the margins. We discuss changes to the ways that platforms handle content related to eating disorders by drawing on the concept of multiplicity to inform design. CCS Concepts: • Human-centered computing → Human computer interaction (HCI).",en
9,2020,political_philosophy,Constitutive,Liberté d’expression et nouvelles théories de la censure:,"Roussin, Philippe",TZPME8GN,"Les définitions de la censure ont fortement évolué au cours des dernières décennies. De nouvelles théories sont apparues, chassant le récit classique du libéralisme politique, celui de l’émancipation conduite à partir des Lumières contre l’oppression, l’obscurantisme, l’esprit victorien. Pour les théories libérales, la censure est une contrainte, un obstacle à l’expression, un frein à l’exercice d’un droit politique. Elle s’impose de l’extérieur à une parole qui, autrement, serait libre. Les nouvelles conceptions de la censure mettent, elles, l’accent sur les structures implicites et sur les formes multiples de la censure sociale . Elles la présentent comme un élément omniprésent de la réalité sociale. L’un des traits communs à ces nouvelles descriptions est la thèse selon laquelle la censure ne serait pas de l’ordre de l’interdit mais plutôt d’une injonction à parler.",fr
5,2020,sociology_anthropology,Constitutive,Les affres de la disparition de la censure:,"Esquerre, Arnaud",9P8XFJEZ,"On peut distinguer deux formes de « censure » : une censure institutionnelle, reconnue comme telle par une institution, comme l’État ou une Église, et qui a été pratiquée en France pour le cinéma jusque dans les années 1970 ; une censure accusatoire, qui s’est développée largement à partir de Mai 68 et de la disparition de la censure institutionnelle, et qui a été théorisée notamment par Pierre Bourdieu, Jacques Derrida et Judith Butler. Toutefois, il est resté, en France, une action de « classification » des films au début du xxi e  siècle exercée par l’État, qui est difficilement compatible avec les théories d’une censure accusatoire.",fr
3,2021,sociology_anthropology,Constitutive,"Liberté, censure, autocensure: les défis de la recherche: Un hommage à Fariba Adelkhah",P Geschiere,CLK9IZYQ,… me has been the easy slippage from censure into self-censure. Already Noam Chomski and … became a true mantra for us – made me censure my choice of subjects in later field-work …,en
29,2022,history_book_history,Constitutive,Lust on Trial: Censorship and the Rise of American Obscenity in the Age of Anthony Comstock,Mary Baine Campbell,YK5RF5TN,"Panorama is a peer-reviewed, open-access, online publication dedicated to American art and visual culture (broadly defined). The journal is intended to provide a high-caliber international forum for disseminating original research and scholarship and for sustaining a lively engagement with intellectual developments and methodological debates in art history, visual and material cultural studies, and curatorial work.",en
0,2022,communication_media_studies,Constitutive,L'anonimato degli utenti quale forma mediata della libertà di stampa: Il caso Standard Verlagsgesellschaft mbH c. Austria,P Dunn,XQ5HANZJ,"… La piattaforma utilizza un sistema di moderazione automatizzata dei contenuti che opera … di espressione in quanto equivalente, di fatto a una forma di censura: secondo l’autore, «[l]’…",it
17,2023,communication_media_studies,Constitutive,"The Fact of Content Moderation; Or, Let’s Not Solve the Platforms’ Problems for Them","Gillespie, Tarleton",WKCTR8MB,"Recent social science concerning the information technology industries has been driven by a sense of urgency around the problems social media platforms face. But it need not be our job to solve the problems these industries have created, at least not on the terms in which they offer them. When researchers are enlisted in solving the industry’s problems, we tend to repeat some of the missteps common to the study of technology and society.",en
13,2023,communication_media_studies,Constitutive,The affordances of extreme speech,"De Keulenaar, Emillie",V3ZPRHUS,"New media studies invested in online political conﬂict, radical and antagonistic subcultures have taken an interest in the affordances that shape memes, vernaculars and online political communication. One often overlooked affordance is the ensemble of social, communication, platform and legal frameworks stipulating what users can and cannot say, which I call “speech affordances.” To explore this concept, I look at the strategic communication of 4chan, Twitter and YouTube subcultures tied to a historical meme, “Kekistan,” often perceived as a key example of the ideological cacophony of the 2015–2017 online “culture wars.” I focus on how 4chan’s policy of user anonymity, YouTube’s unmoderated comment sections and Twitter’s more proactive moderation practices brought some inﬂuencers to alter the original connotations of the meme into “overt” messages tolerable to Twitter and YouTube out-groups and platform moderation policies. Speech affordances bear methodological implications for historical studies of speech moderation and the overall mechanisms in which problematic language adapts to spaces with distinct speech norms.",en
6,2023,philosophy_ethics,Constitutive,Norms of Public Argument: A Speech Act Perspective,"Lewiński, Marcin; Cepollaro, Bianca; Oswald, Steve; Witek, Maciej",K3LUEZ48,,en
5,2023,sociology_anthropology,Constitutive,Free speech or obedient speech? Revisiting liberal speech norms in ‘closed contexts’,"Koch, Natalie",UGA4B39E,"Qualitative researchers can usually discern the difference between obedient speech and fearless, critical, or oppositional speech. Yet the context in which speech acts are performed is necessarily uneven, such that the same people who might speak freely in one place are often quick to engage in obedient speech in another. Speech acts also depend on the speaker's positionality, meaning that some speakers may have the privilege to act as ‘truth-tellers’ and speak freely, whereas the positionality of others does not enable this. This paper considers how these contextual factors can be overlooked when liberal speech norms are taken for granted. Engaging with Michel Foucault's writing on parrhesia, I highlight the issues of positionality and context in defining how socio-political borders are drawn around free (‘fearless’) speech as opposed to obedient (‘performative’) speech. I show how parrhesia opens up key questions for qualitative research about the politicisation of free versus obedient speech through space and time.",en
4,2023,arts_literary_cultural_studies,Constitutive,Censura y LIJ,C Aguilar,JWWDQW2H,"Aunque en cursos anteriores ya habíamos trabajado diversos aspectos de la Censura y la LIJ, el curso 2021-2022 hemos implementado desde la DLIJ (Didáctica de la Literatura …",es
19,2025,communication_media_studies,Constitutive,Exploring algorithmic resistance: Responses to social media censorship in activism,"H Elmimouni, S Rüller, K Aal, Y Skop…",YZWR5B7D,"… moderation and censorship. This article explores the complex dynamics of censorship on social … In particular, this research focuses on the ways in which users respond to censorship on …",en
1,2025,public_policy_governance,Constitutive,TECNOPOLITICA: ILLEVIATANO ADUETESTE DIASMAMHALLA,A Luraschi,J8JWUCDP,"… in tema di cybersicurezza, censura e moderazione dei … con chiarezza nel tema della moderazione dei contenuti che … imporre una qualche forma di censura dei contenuti estremi, che …",it
0,2025,censorship_studies,Constitutive,Censura: o que nos falta perguntar?,"A Fernandes, C MONOPOLI, E de Keulenaar, I Iglesias…",NGKFF7PA,"… , para que diversas introduções à censura fossem feitas e que neste livro se … censura e que quer censurar, no sentido de opor, questionar, rebater, refutar, uma ideia de censura …",pt
0,2025,public_policy_governance,Constitutive,Potenza del linguaggio e odio online: strumenti di prevenzione e contrasto,T Casadei,ZDWC5KTW,… di attualità del dibattito pubblico e politico: dall’uso della “schwa” (pp. 63-65) alla scelta del … (al fine di attivare gli strumenti di moderazione) al recente Artificial Intelligence Act (in …,it
0,2025,arts_literary_cultural_studies,Constitutive,Teorias da censura literária e abordagens para sua pesquisa,"Bachleitner, Norbert",YTS8BHTV,,pt
0,2026,communication_media_studies,Constitutive,ALGORITHMIC CENSORSHIP,A Vatreš,5FJBKK2C,… coded linguistic practices designed to evade automated moderation and preserve critical discourse. Recognizing algorithmic censorship as both a communicative and epistemological …,en
0,2026,communication_media_studies,Constitutive,RACISMO NAS REDES SOCIAIS E MÍDIAS BRASILEIRAS: ANÁLISE DE DISCURSOS E IMPACTOS SOCIAIS,"EM de Araújo, SXK de Brito Brito, YFA Chaves…",7EJLF9ZF,"… Com a expansão das redes sociais e das mídias digitais, … dos responsáveis e as limitações das políticas de moderação. … bem como à efetividade das políticas de moderação de …",pt
225,2002,computer_science_ai,Infrastructural,Infranet: Circumventing web censorship and surveillance,"N Feamster, M Balazinska, G Harfst…",CGFB6NSM,"An increasing number of countries and companies routinely block or monitor access to parts of the Internet. To counteract these measures, we propose Infranet, a system that enables …",en
361,2008,public_policy_governance,Infrastructural,Access denied: the practice and policy of global Internet filtering,Ronald J. Deibert; John Palfrey; Rafal Rohozinski; Jonathan Zittrain,9H33FPPZ,"Internet filtering seems like an infringement of the civil liberties of all of us who use this free, public, unitary, global network of networks. But states have a strong argument that they have the right to control domestic matters, whether or not they occur in cyberspace, and there is often little that other states can do to influence them. The future of the Internet, if not all geopolitics, hangs in the balance.",en
30,2010,communication_media_studies,Infrastructural,Intermediary Censorship,"Zuckerman, Ethan",2L3E5DXH,,und
230,2011,computer_science_ai,Infrastructural,Analysis of country-wide internet outages caused by censorship,"Dainotti, Alberto; Squarcella, Claudio; Aben, Emile; Claffy, Kimberly C; Chiesa, Marco; Russo, Michele; Pescap, Antonio",ZLLQJN6U,"In the ﬁrst months of 2011, Internet communications were disrupted in several North African countries in response to civilian protests and threats of civil war. In this paper we analyze episodes of these disruptions in two countries: Egypt and Libya. Our analysis relies on multiple sources of large-scale data already available to academic researchers: BGP interdomain routing control plane data; unsolicited data plane trafﬁc to unassigned address space; active macroscopic traceroute measurements; RIR delegation ﬁles; and MaxMind’s geolocation database. We used the latter two data sets to determine which IP address ranges were allocated to entities within each country, and then mapped these IP addresses of interest to BGP-announced address ranges (preﬁxes) and origin ASes using publicly available BGP data repositories in the U.S. and Europe. We then analyzed observable activity related to these sets of preﬁxes and ASes throughout the censorship episodes. Using both control plane and data plane data sets in combination allowed us to narrow down which forms of Internet access disruption were implemented in a given region over time. Among other insights, we detected what we believe were Libya’s attempts to test ﬁrewallbased blocking before they executed more aggressive BGP-based disconnection. Our methodology could be used, and automated, to detect outages or similar macroscopically disruptive events in other geographic or topological regions.",en
69,2012,computer_science_ai,Infrastructural,Evading Censorship with Browser-Based Proxies,"Fifield, David; Hardison, Nate; Ellithorpe, Jonathan; Stark, Emily; Boneh, Dan; Dingledine, Roger; Porras, Phil",IRBCC4IT,"While Internet access to certain sites is blocked in some parts of the world, these restrictions are often circumvented using proxies outside the censored region. Often these proxies are blocked as soon as they are discovered. In this paper we propose a browser-based proxy creation system that generates a large number of short-lived proxies. Clients using the system seamlessly hop from one proxy to the next as these browserbased proxies appear and disappear. We discuss a number of technical challenges that had to be overcome for this system to work and report on its performance and security. We show that browser-based short-lived proxies provide adequate bandwidth for video delivery and argue that blocking them can be challenging.",en
171,2013,computer_science_ai,Infrastructural,Internet Censorship in Iran: A First Look,"Aryan, Simurgh; Aryan, Homa; Halderman, J Alex",8WDX5GLG,"The Iranian government operates one of the largest and most sophisticated Internet censorship regimes in the world, but the mechanisms it employs have received little research attention, primarily due to lack of access to network connections within the country and personal risks to Iranian citizens who take part. In this paper, we examine the status of Internet censorship in Iran based on network measurements conducted from a major Iranian ISP during the lead up to the June 2013 presidential election. We measure the scope of the censorship by probing Alexa’s top 500 websites in 18 different categories. We investigate the technical mechanisms used for HTTP Host–based blocking, keyword ﬁltering, DNS hijacking, and protocol-based throttling. Finally, we map the network topology of the censorship infrastructure and ﬁnd evidence that it relies heavily on centralized equipment, a property that might be fruitfully exploited by next generation approaches to censorship circumvention.",en
86,2013,computer_science_ai,Infrastructural,ScrambleSuit: a polymorphic network protocol to circumvent censorship,"Winter, Philipp; Pulls, Tobias; Fuss, Juergen",6TSBRUFE,"Deep packet inspection technology became a cornerstone of Internet censorship by facilitating cheap and eﬀective ﬁltering of what censors consider undesired information. Moreover, ﬁltering is not limited to simple pattern matching but makes use of sophisticated techniques such as active probing and protocol classiﬁcation to block access to popular circumvention tools such as Tor.",en
47,2013,computer_science_ai,Infrastructural,Dimming the Internet: Detecting Throttling as a Mechanism of Censorship in Iran,"Anderson, Collin",9MKUKZLX,"In the days immediately following the contested June 2009 Presidential election, Iranians attempting to reach news content and social media platforms were subject to unprecedented levels of the degradation, blocking and jamming of communications channels. Rather than shut down networks, which would draw attention and controversy, the government was rumored to have slowed connection speeds to rates that would render the Internet nearly unusable, especially for the consumption and distribution of multimedia content. Since, political upheavals elsewhere have been associated with headlines such as “High usage slows down Internet in Bahrain” and “Syrian Internet slows during Friday protests once again,” with further rumors linking poor connectivity with political instability in Myanmar and Tibet. For governments threatened by public expression, the throttling of Internet connectivity appears to be an increasingly preferred and less detectable method of stiﬂing the free ﬂow of information. In order to assess this perceived trend and begin to create systems of accountability and transparency on such practices, we attempt to outline an initial strategy for utilizing a ubiquitious set of network measurements as a monitoring service, then apply such methodology to shed light on the recent history of censorship in Iran.",en
48,2014,computer_science_ai,Infrastructural,CloudTransport: Using Cloud Storage for Censorship-Resistant Networking,"Brubaker, Chad; Houmansadr, Amir; Shmatikov, Vitaly",E3GYLZKW,"Censorship circumvention systems such as Tor are highly vulnerable to network-level ﬁltering. Because the traﬃc generated by these systems is disjoint from normal network traﬃc, it is easy to recognize and block, and once the censors identify network servers (e.g., Tor bridges) assisting in circumvention, they can locate all of their users.",en
36,2014,computer_science_ai,Infrastructural,A Look at the Consequences of Internet Censorship Through an ISP Lens,"Khattak, Sheharbano; Javed, Mobin; Khayam, Syed Ali; Uzmi, Zartash Afzal; Paxson, Vern",KYMJMPSL,"Internet censorship artiﬁcially changes the dynamics of resource production and consumption, affecting a range of stakeholders that include end users, service providers, and content providers. We analyze two large-scale censorship events in Pakistan: blocking of pornographic content in 2011 and of YouTube in 2012. Using trafﬁc datasets collected at home and SOHO networks before and after the censorship events, we: a) quantify the demand for blocked content, b) illuminate challenges encountered by service providers in implementing the censorship policies, c) investigate changes in user behavior (e.g., with respect to circumvention) after censorship, and d) assess beneﬁts extracted by competing content providers of blocked content.",en
101,2015,computer_science_ai,Infrastructural,Encore: Lightweight measurement of web censorship with cross-origin requests,"S Burnett, N Feamster",HG4VG2XI,… We summarize existing censorship measurement techniques and previous studies of Internet censorship; other policy reports of Internet censorship (which can ultimately seed our …,en
45,2015,computer_science_ai,Infrastructural,CacheBrowser: Bypassing Chinese Censorship without Proxies Using Cached Content,"Holowczak, John; Houmansadr, Amir",Q9HTHEC5,"The cached Internet content served by content delivery networks (CDN) comprises a large fraction of today’s Internet traﬃc, yet, there is little study on how real-world censors deal with blocking forbidden CDN-hosted Internet content. We investigate the techniques used by the Great Firewall of China to block CDN-hosted content, and demonstrate that blocking CDN content poses unique technical and non-technical challenges to the censors. We therefore design a client-side circumvention system, CacheBrowser, that leverages the censors’ diﬃculties in blocking CDN content. We implement CacheBrowser and use it to unblock CDN-hosted content in China with a download latency signiﬁcantly smaller than traditional proxy-based circumvention systems like Tor. CacheBrowser’s superior quality-ofservice is thanks to its publisher-centric approach, which retrieves blocked content directly from content publishers with no use of third-party proxies.",en
111,2017,public_policy_governance,Infrastructural,The shifting landscape of global internet censorship,"JL Zittrain, R Faris, H Noman, J Clark…",4SL7ZCJ9,… of state-level Internet censorship and in some cases led to … This study documents the practice of Internet censorship … tools (a term that includes censorship circumvention tools as well as …,en
82,2017,computer_science_ai,Infrastructural,Global Measurement of DNS Manipulation,Pearce Paul et al.,GDVP329L,,en
338,2018,communication_media_studies,Infrastructural,Hate speech review in the context of online social networks,"Chetty, Naganna; Alathur, Sreejith",SR4362VP,"Advances in Internet Technologies (ITs) and online social networks have made more beneﬁts to humanity. At the same time, the dark side of this growth/beneﬁt has led to increased hate speech and terrorism as most common and powerful threats globally. Hate speech is an oﬀensive kind of communication mechanism that expresses an ideology of hate using stereotypes. Hate speech targets diﬀerent protected characteristics such as gender, religion, race, and disability. Control of hate speech can be made using diﬀerent national and international legal frameworks. Any intentional act directed against life or related entities causing a common danger is known as terrorism. There is a common practice of discussing or debating hate speech and terrorism separately. In the recent past, most of the research articles have discussed either hate speech or terrorism. Hate speech is a type of terrorism and follows an incident or trigger event of terrorism. Online social networks are the result of ITs and evolved rapidly through the popularity among youth. As both the activities are near to close and makes use of online social networks, the collective discussion is appropriate. Therefore we have a review on hate speech with diﬀerent classes and terrorism with cyber use in the framework of online social networks. With the help of combined eﬀort from the government, the Internet Service Providers (ISPs) and online social networks, the proper policies can be framed to counter both hate speech and terrorism eﬃciently and eﬀectively.",en
28,2018,computer_science_ai,Infrastructural,Quack: Scalable Remote Measurement of Application-Layer Censorship,"VanderSloot, Benjamin; McDonald, Allison; Scott, Will; Halderman, J Alex; Ensafi, Roya",5AV85PQ2,"Remote censorship measurement tools can now detect DNS- and IP-based blocking at global scale. However, a major unmonitored form of interference is blocking triggered by deep packet inspection of application-layer data. We close this gap by introducing Quack, a scalable, remote measurement system that can efﬁciently detect application-layer interference. We show that Quack can effectively detect applicationlayer blocking triggered on HTTP and TLS headers, and it is ﬂexible enough to support many other diverse protocols. In experiments, we test for blocking across 4458 autonomous systems, an order of magnitude larger than provided by country probes used by OONI. We also test a corpus of 100,000 keywords from vantage points in 40 countries to produce detailed national blocklists. Finally, we analyze the keywords we ﬁnd blocked to provide insight into the application-layer blocking ecosystem and compare countries’ behavior. We ﬁnd that the most consistently blocked services are related to circumvention tools, pornography, and gambling, but that there is signiﬁcant country-to-country variation.",en
264,2019,communication_media_studies,Infrastructural,Reframing platform power,"Van Dijck, José; Nieborg, David; Poell, Thomas",DSAK6UVP,"This article addresses the problem of platform power by probing current regulatory frameworks’ basic assumptions about how tech firms operate in digital ecosystems. Platform power is generally assessed in terms of economic markets in which individual corporate actors harness technological innovations to compete fairly, thereby maximising consumer welfare. We propose three paradigmatic shifts in the conceptualisation of platform power. First, we suggest to expand the notion of consumer welfare to citizen wellbeing, hence addressing a broader scope of platform services’ beneficiaries. Second, we recommend considering platform companies as part of an integrated platform ecosystem, acknowledging its interrelational, dynamic structure. And third, we shift attention from markets as level playing fields towards societal platform infrastructures where hierarchies and dependencies are built into their architecture. Reframing platform power may be a necessary condition for updating and integrating current regulatory regimes and policy proposals.",en
83,2019,computer_science_ai,Infrastructural,The use of TLS in Censorship Circumvention,"Frolov, Sergey; Wustrow, Eric",C7276SJE,"TLS, the Transport Layer Security protocol, has quickly become the most popular protocol on the Internet, already used to load over 70% of web pages in Mozilla Firefox. Due to its ubiquity, TLS is also a popular protocol for censorship circumvention tools, including Tor and Signal, among others.",en
12,2019,computer_science_ai,Infrastructural,"ICLab: A Global, Longitudinal Internet Censorship Measurement Platform","Niaki, Arian Akhavan; Cho, Shinyoung; Weinberg, Zachary; Hoang, Nguyen Phong; Razaghpanah, Abbas; Christin, Nicolas; Gill, Phillipa",E7Y8M6VK,"Researchers have studied Internet censorship for nearly as long as attempts to censor contents have taken place. Most studies have however been limited to a short period of time and/or a few countries; the few exceptions have traded off detail for breadth of coverage. Collecting enough data for a comprehensive, global, longitudinal perspective remains challenging. In this work, we present ICLab, an Internet measurement platform specialized for censorship research. It achieves a new balance between breadth of coverage and detail of measurements, by using commercial VPNs as vantage points distributed around the world. ICLab has been operated continuously since late 2016. It can currently detect DNS manipulation and TCP packet injection, and overt “block pages” however they are delivered. ICLab records and archives raw observations in detail, making retrospective analysis with new techniques possible. At every stage of processing, ICLab seeks to minimize false positives and manual validation.",en
40,2020,computer_science_ai,Infrastructural,Measuring the Deployment of Network Censorship Filters at Global Scale,"Raman, Ram Sundara; Stoll, Adrian; Dalek, Jakub; Ramesh, Reethika; Scott, Will; Ensafi, Roya",W8HJ8HQB,"Content filtering technologies are often used for Internet censorship, but even as these technologies have become cheaper and easier to deploy, the censorship measurement community lacks a systematic approach to monitor their proliferation.Past research has focused on a handful of specific filtering technologies, each of which required cumbersome manual detective work to identify.Researchers and policymakers require a more comprehensive picture of the state and evolution of censorship based on content filtering in order to establish effective policies that protect Internet freedom.In this work, we present FilterMap, a novel framework that can scalably monitor content filtering technologies based on their blockpages.FilterMap first compiles in-network and new remote censorship measurement techniques to gather blockpages from filter deployments.We then show how the observed blockpages can be clustered, generating signatures for longitudinal tracking.FilterMap outputs a map of regions of address space in which the same blockpages appear (corresponding to filter deployments), and each unique blockpage is manually verified to avoid false positives.By collecting and analyzing more than 379 million measurements from 45,000 vantage points against more than 18,000 sensitive test domains, we are able to identify filter deployments associated with 90 vendors and actors and observe filtering in 103 countries.We detect the use of commercial filtering technologies for censorship in 36 out of 48 countries labeled as 'Not Free' or 'Partly Free' by the Freedom House ""Freedom on the Net"" report.The unrestricted transfer of content filtering technologies have led to high availability, low cost, and highly effective filtering techniques becoming easier to deploy and harder to circumvent.Identifying these filtering deployments highlights policy and corporate social responsibility issues, and adds accountability to filter manufacturers.Our continued publication of FilterMap data will help the international community track the scope, scale and evolution of content-based censorship.",en
48,2021,public_policy_governance,Infrastructural,"Platform Governance at the Periphery: Moderation, Shutdowns and Intervention","Gregorio, Giovanni De; Stremlau, Nicole",CAC7KG3P,"After illustrating how the spread of dangerous content has led to troubling consequences beyond digital boundaries, this chapter describes how online hate speech has become criminalised in the global south. It analyses Internet shutdowns to understand their socio-legal consequences, and explores the applicability of public international law and the humanitarian doctrine to information interventions.",en
12,2021,computer_science_ai,Infrastructural,How Great is the Great Firewall? Measuring China’s DNS Censorship,"Hoang, Nguyen Phong; Niaki, Arian Akhavan; Knockel, Jeffrey; Lin, Pellaeon; Polychronakis, Michalis",RUSUXKMK,"The DNS ﬁltering apparatus of China’s Great Firewall (GFW) has evolved considerably over the past two decades. However, most prior studies of China’s DNS ﬁltering were performed over short time periods, leading to unnoticed changes in the GFW’s behavior. In this study, we introduce GFWatch, a large-scale, longitudinal measurement platform capable of testing hundreds of millions of domains daily, enabling continuous monitoring of the GFW’s DNS ﬁltering behavior. We present the results of running GFWatch over a ninemonth period, during which we tested an average of 411M domains per day and detected a total of 311K domains censored by GFW’s DNS ﬁlter. To the best of our knowledge, this is the largest number of domains tested and censored domains discovered in the literature. We further reverse engineer regular expressions used by the GFW and ﬁnd 41K innocuous domains that match these ﬁlters, resulting in overblocking of their content. We also observe bogus IPv6 and globally routable IPv4 addresses injected by the GFW, including addresses owned by US companies, such as Facebook, Dropbox, and Twitter.",en
36,2022,computer_science_ai,Infrastructural,Network measurement methods for locating and examining censorship devices,"RS Raman, M Wang, J Dalek, J Mayer…",VD32NP7C,"… of censorship devices, we design and build a censorship … about what censorship devices are used or how the censorship is … paths and identify where censorship occurs on those paths. …",en
0,2022,communication_media_studies,Infrastructural,"Infrastructures d'internet, gouvernance et libertés citoyennes",F Musiani,ETGX7ITZ,"… exemple, à la liberté d’expression et à la censure, ou à la protection de la vie privée et la … avec des problèmes liés à la médiation et la modération des contenus3. Ces questions sont …",fr
5,2023,computer_science_ai,Infrastructural,Advancing the Art of Censorship Data Analysis,"Raman, Ram Sundara; Virkud, Apurva; Laplante, Sarah; Fortuna, Vinicius",QD47FWRS,"A decade of research into collecting censorship measurement data has resulted in the introduction and continued operation of several censorship measurement platforms that collect large-scale, longitudinal censorship data. However, collecting data is only part of the process of understanding Internet censorship phenomena; interpreting this data requires a large amount of effort in data analysis, including removing false positives, adding information from external sources, and exploring aggregated data. The lack of a standardized data analysis process that performs such operations leads to incomplete and inaccurate characterizations of censorship. In this work, we present a detailed breakdown of the challenges involved in analyzing censorship measurement data, supported by examples from public censorship datasets such as OONI and Censored Planet. The key challenges identified in this paper encompass finding accurate measurement metadata, and accounting for unexpected causes of network interference other than Internet censorship, and we highlight findings from previous work that suffer from these challenges. To address these challenges, we design and implement an open-source data analysis pipeline for a currently active censorship measurement platform, Censored Planet, and motivate and validate each component of the pipeline by demonstrating censorship case studies that can be accurately characterized using the pipeline. We hope that our paper sheds light on the complexity of censorship data analysis and brings systematization to the process.",en
9,2024,public_policy_governance,Infrastructural,Guardians of the galaxy: Content moderation in the {InterPlanetary} file system,"S Sokoto, L Balduf, D Trautwein, Y Wei…",27Q3RIAD,"… We analyze the complete content moderation process including how these files are flagged, … analyze content submitted to denylist, showing that notable volumes of problematic content …",en
2,2025,computer_science_ai,Infrastructural,Censorship Evasion with Unidentified Protocol Generation,"Wails, Ryan; Jansen, Rob; Johnson, Aaron; Sherr, Micah",PFNREZDI,"We present the design and implementation of a novel approach to internet censorship evasion called Unidentified Protocol Generation (UPGen). UPGen automatically generates novel protocols for encrypted communication that are not easily recognizable as being UPGen protocols, but instead as some benign encrypted protocol unknown to the adversary. UPGen protocols are to be used to relay traffic to censored destinations via proxies, where each proxy can run a different UPGen-generated protocol. An adversary attempting to block at the protocol level but unable to identify UPGen protocols could cause significant collateral damage if it attempted to block all unidentified protocols. We conduct a security evaluation of UPGen employing state-of-the-art machine learning classifiers and find that it is infeasible to block UPGen protocols without also blocking existing encrypted protocols. We conduct small- and large-scale performance evaluations and find that UPGen protocols meet or exceed the performance of other common censorship evasion protocols.",en
0,2025,political_science_ir,Infrastructural,Digital Censorship and Freedom of Expression in Authoritarian and Democratic Systems,"W Lewis, H Vincent",HL6MQRSV,"… the relationship between digital censorship and the protection … While authoritarian regimes often employ overt censorship … approaches, including content moderation policies, regulatory …",en
78,1913,history_book_history,Regulative,Censorship in England,"F Fowell, F Palmer",95AF9SQ6,"In one of our royal palaces you may, after inquiry, be directed to a certain room whose prosaic furnishings call for no special mention. Here you shall-if your visit be well timed-discover a …",en
9,1938,censorship_studies,Regulative,Judicial Censorship of Obscene Literature,"Alpert, Leo M.",VFYIUYM4,,en
12,1939,history_book_history,Regulative,La censura editorial: depuraciones de libros y bibliotecas,E Ruiz Bautista,LJ9YAY3G,"El fuego bibliocida en el que se consumen páginas, libros y bibliotecas enteras cubre de amargura y ceniza la novela de Manuel Rivas titulada, paradójicamente, Los libros arden mal, …",es
3,1941,political_science_ir,Regulative,Press Censorship,"Eggleston, Wilfrid",WKMQ6EGD,"Censorship in war-time seeks to withhold military information from the enemy, and to safeguard public morale from the corrosion of enemy propaganda. To achieve the first aim, press censorship is co-ordinated with censorship of radio, the mails, telephone, telegraph, and cable lines; and with appropriate safeguards against public access to prohibited areas. The principles of military censorship are simple. The essence of successful warfare is secrecy. “Let us learn what we can from the enemy; let us teach him only what we must,” was the rule laid down by Lord Balfour in the last war. Surprise is still the most valuable “secret weapon” of war; and the ideal state of affairs from the narrow viewpoint of military operations is a complete black-out on all information regarding such matters as the strength of military forces, the disposition of units, the nature of defences, the stocks of war supplies, the rate of growth of the armed forces, the rate of production of war weapons, and so on. In modern wars, these desirable military secrets must be extended to facts concerning the economic, financial, and psychological strength of the nation at war. The ideal state of affairs from the viewpoint of military operations is, unfortunately, at variance with other vital considerations. It is not practicable to screen all information from the enemy without hiding it quite as effectively from one's own people. Complete acceptance of the military philosophy of censorship would raise grave problems in a democracy, which relies so largely on an informed public, and on voluntary effort.",en
