ID,Date of capture,Type (contemporary name),Branch 0 (pre-section),Branch 1 (section),Branch 2 (title),Branch 3 (specifics 1),Branch 4 (specifics 2),Branch 5 (specifics 3),Technique 1,Technique 2,Technique 3,Technique 4,Technique 5
377,2018-02-27,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Adult content,Any media that is pornographic and/or may be intended to cause sexual arousal,"Depictions of intercourse or any sexual act (may involve humans, humanoid animals, cartoons, or anime)",Warning message,Remove imagery,Permanent suspension,,
347,2018-05-24,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Behavior that harasses, intimidates, or uses fear to silence another person's voice","Promote violence against or directly attack or threaten other people on the basis of their race, ethnicity, national origin, sexual orientation, gender, gender identity, religious affiliation, age, disability, or serious disease",Violent threats,Report,Ask to remove Tweet,Suspension,,
348,2018-05-24,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Behavior that harasses, intimidates, or uses fear to silence another person's voice","Promote violence against or directly attack or threaten other people on the basis of their race, ethnicity, national origin, sexual orientation, gender, gender identity, religious affiliation, age, disability, or serious disease","Wishes for the physical harm, death, or disease of individuals or groups",Report,Ask to remove Tweet,Suspension,,
349,2018-05-24,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Behavior that harasses, intimidates, or uses fear to silence another person's voice","Promote violence against or directly attack or threaten other people on the basis of their race, ethnicity, national origin, sexual orientation, gender, gender identity, religious affiliation, age, disability, or serious disease","References to mass murder, violent events, or specific means of violence in which/with which such groups have been the primary targets or victims",Report,Ask to remove Tweet,Suspension,,
350,2018-05-24,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Behavior that harasses, intimidates, or uses fear to silence another person's voice","Promote violence against or directly attack or threaten other people on the basis of their race, ethnicity, national origin, sexual orientation, gender, gender identity, religious affiliation, age, disability, or serious disease",Behavior that incites fear about a protected group,Report,Ask to remove Tweet,Suspension,,
351,2018-05-24,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Behavior that harasses, intimidates, or uses fear to silence another person's voice","Promote violence against or directly attack or threaten other people on the basis of their race, ethnicity, national origin, sexual orientation, gender, gender identity, religious affiliation, age, disability, or serious disease","Repeated and/or non-consensual slurs, epithets, racist and sexist tropes, or other content that degrades someone",Report,Ask to remove Tweet,Suspension,,
312,2018-09-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,"An attempt to harass, intimidate, or silence someone else's voice",,,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
313,2018-09-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,"Behavior that harasses or intimidates, or is otherwise intended to shame or degrade others",,,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
314,2018-09-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Behavior that may lead to physical and emotional hardship for those affected,,,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
315,2018-09-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes or expresses a desire for death, serious bodily harm or fatal disease against an individual or group of people","Hoping that someone dies as a result of a serious disease e.g., ""I hope you get cancer and die.""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
316,2018-09-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes or expresses a desire for death, serious bodily harm or fatal disease against an individual or group of people","Wishing for someone to fall victim to a serious accident e.g., ""I wish that you would get run over by a car next time you run your mouth.""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
317,2018-09-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes or expresses a desire for death, serious bodily harm or fatal disease against an individual or group of people","Saying that a group of individuals deserves serious physical injury e.g., ""If this group of protesters don't shut up, they deserve to be shot.""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
318,2018-09-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Unwanted sexual advances,Unwanted sexual advances and content that sexually objectifies an individual without their consent,"Sending someone unsolicited and/or unwanted adult media, including images, videos and GIFs",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
319,2018-09-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Unwanted sexual advances,Unwanted sexual advances and content that sexually objectifies an individual without their consent,Unwanted sexual discussion of someone's body,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
320,2018-09-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Unwanted sexual advances,Unwanted sexual advances and content that sexually objectifies an individual without their consent,Solicitation of sexual acts,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
321,2018-09-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Unwanted sexual advances,Unwanted sexual advances and content that sexually objectifies an individual without their consent,Any other content that otherwise sexualizes an individual without their consent,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
322,2018-09-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Using aggressive insults with the purpose of harassing or intimidating others,"Excessively aggressive insults that target an individual, including content that contains slurs or similar language",,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
323,2018-09-27,Abusive behavior,Help Center,Twitter Rules & Policies,Abusive behavior,Encouraging or calling for others to harass an individual or group of people,Behavior that encourages others to harass or target specific individuals or groups with abusive behavior,Calls to target people with abuse or harassment online and behavior that urges offline action such as physical harassment,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
119,2018-11-13,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Hateful imagery and display names,Hateful images or symbols in your profile image or profile header,,Report,Tweet removal,Suspension,,
120,2018-11-13,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Use your username, display name, or profile bio to engage in abusive behavior, such as targeted harassment or expressing hate towards a person, group, or protected category","Violent threats,  e.g., ""I will kill you""",,Report,Tweet removal,Suspension,,
121,2018-11-13,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Use your username, display name, or profile bio to engage in abusive behavior, such as targeted harassment or expressing hate towards a person, group, or protected category","Whishing, hoping or calling for serious harm on a person or group of people, e.g., ""I hope you get cancer and die."", ""I wish that you would get run over by a car next time you run your mouth."", ""If this group of protesters don't shut up, they deserve to be shot.""",,Report,Tweet removal,Suspension,,
122,2018-11-13,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Use your username, display name, or profile bio to engage in abusive behavior, such as targeted harassment or expressing hate towards a person, group, or protected category","References to mass murder, violent events, or specific means of violence where protected groups have been the primary targets or victims",,Report,Tweet removal,Suspension,,
123,2018-11-13,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Use your username, display name, or profile bio to engage in abusive behavior, such as targeted harassment or expressing hate towards a person, group, or protected category","Inciting fear about a protected category, e.g., ""all [religious group] are terrorists""",,Report,Tweet removal,Suspension,,
124,2018-11-13,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Use your username, display name, or profile bio to engage in abusive behavior, such as targeted harassment or expressing hate towards a person, group, or protected category","Repeated and/or non-consensual slurs, epithets, racist and sexist tropes, or other content that degrades someone",,Report,Tweet removal,Suspension,,
353,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Hateful imagery and display names,"Using your username, display name, or profile bio to engage in abusive behavior, such as targeted harassment or expressing hate towards a person, group, or protected category",,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
355,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes or expresses a desire for death, serious bodily harm or fatal disease against an individual or group of people","Hoping that someone dies as a result of a serious disease e.g., ""I hope you get cancer and die.""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
356,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes or expresses a desire for death, serious bodily harm or fatal disease against an individual or group of people","Wishing for someone to fall victim to a serious accident e.g., ""I wish that you would get run over by a car next time you run your mouth.""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
357,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Wishing or hoping serious harm on a person or group of people,"Content that wishes, hopes or expresses a desire for death, serious bodily harm or fatal disease against an individual or group of people","Saying that a group of individuals deserves serious physical injury e.g., ""If this group of protesters don't shut up, they deserve to be shot.""",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
358,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"References to mass murder, violent events, or specific means of violence where protected groups have been the primary targets or victims",Media that depicts victims of the Holocaust,,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
359,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"References to mass murder, violent events, or specific means of violence where protected groups have been the primary targets or victims",Media that depicts lynchings,,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
360,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Inciting fear about a protected category,"Asserting that members of a protected category are more likely to take part in dangerou or illegal activities, e.g., ""all [religious groups] are terrorists""",,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
361,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,"Repeated and/or non-consensual slurs, epithets, racist and sexist tropes, or other content that degrades someone","Content that intends to dehumanize, degrade or reinforce negative or harmful stereotypes about a protected category",Targeted misgendering or deadnaming of transgender individuals,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
362,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Hateful imagery,"Logos, symbols, or images whose purpose is to promote hostility and malice against others based on their race, religion, disability, sexual orientation, gender identity or ethnicity/national origin","Symbols historically associated with hate groups, e.g., the Nazi swastika",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
363,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Hateful imagery,"Logos, symbols, or images whose purpose is to promote hostility and malice against others based on their race, religion, disability, sexual orientation, gender identity or ethnicity/national origin","Images depicting others as less than human, or altered to include hateful symbols, e.g., altering images of individuals to include animalistic features",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
364,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Hateful imagery,"Logos, symbols, or images whose purpose is to promote hostility and malice against others based on their race, religion, disability, sexual orientation, gender identity or ethnicity/national origin","Images altered to include hateful symbols or references to a mass murder that targeted a protected category, e.g., manipulating images of individuals to include yellow Star of David badges, in reference to the Holocaust",Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,,
354,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Violent threats,"Declarative statements of intent to inflict injuries that would result in serious and lasting bodily harm, where an individual could die or be significantly injured, e.g., ""I will kill you""",,Permanent suspension,,,,
352,2018-11-26,Hateful conduct,Help Center,Twitter Rules & Policies,Hateful conduct policy,Hateful imagery and display names,Using hateful images or symbols in your profile image or profile header,,Report,Ask to remove Tweet,Serve a period of time in read-only mode,Permanent suspension,
381,2018-11-30,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Gratuitous gore,"Any media that depicts excessively graphic or gruesome depictions of death, violence or severe physical harm",Depictions of dismembered or mutilated humans,Mark as sensitive,Remove imagery,,,
382,2018-11-30,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Gratuitous gore,"Any media that depicts excessively graphic or gruesome depictions of death, violence or severe physical harm",Depictions of charred or burned human remains,Mark as sensitive,Remove imagery,,,
383,2018-11-30,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Gratuitous gore,"Any media that depicts excessively graphic or gruesome depictions of death, violence or severe physical harm",Depictions of exposed internal organs or bones,Mark as sensitive,Remove imagery,,,
384,2018-11-30,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Gratuitous gore,"Any media that depicts excessively graphic or gruesome depictions of death, violence or severe physical harm",Depictions of animal torture or killing,Mark as sensitive,Remove imagery,,,
385,2018-11-30,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Moment of death,Media that depicts an identifiable deceased individual,"Media depicting the moment at, immediately before, or after which someone dies, when the individual's identity is made clear, whether by name, face, or other specific identifier",Mark as sensitive,Ask to remove Tweet,,,
379,2019-02-27,Hateful conduct,Help Center,Twitter Rules & Policies,Twitter media policy,Hateful imagery,"Logos, symbols, or images whose purpose is to promote hostility and malice against others based on their race, religion, disability, sexual orientation, gender identity or ethnicity/national origin",Images depicting others as less than human or photoshopped to include hateful symbols,Warning message,Remove imagery,Permanent suspension,,
125,2019-04-01,Civic integrity,Help Center,General guidelines and policies,Civic integrity policy,Misleading information about how to participate,misleading information about how to vote or register to vote,,Report,Tweet removal,Permanent suspension,,
126,2019-04-01,Civic integrity,Help Center,General guidelines and policies,Civic integrity policy,Misleading information about how to participate,"misleading information about requirements for voting, including identification requirements",,Report,Tweet removal,Permanent suspension,,
127,2019-04-01,Civic integrity,Help Center,General guidelines and policies,Civic integrity policy,Misleading information about how to participate,"misleading statements or information about the official, announced data or time of an election",,Report,Tweet removal,Permanent suspension,,
128,2019-04-01,Civic integrity,Help Center,General guidelines and policies,Civic integrity policy,Voter suppression and intimidation,"misleading claims that polling places are closed, that polling has ended, or other misleading information relating to votes not being counted",,Report,Tweet removal,Permanent suspension,,
129,2019-04-01,Civic integrity,Help Center,General guidelines and policies,Civic integrity policy,Voter suppression and intimidation,misleading claims about police or law enforcement activity related to polling places or elections;,,Report,Tweet removal,Permanent suspension,,
130,2019-04-01,Civic integrity,Help Center,General guidelines and policies,Civic integrity policy,Voter suppression and intimidation,misleading claims about long lines or equipment problems at voting locations;,,Report,Tweet removal,Permanent suspension,,
131,2019-04-01,Civic integrity,Help Center,General guidelines and policies,Civic integrity policy,Voter suppression and intimidation,misleading claims about voting procedures or techniques which could dissuade voters from participating in an election;,,Report,Tweet removal,Permanent suspension,,
132,2019-04-01,Civic integrity,Help Center,General guidelines and policies,Civic integrity policy,Voter suppression and intimidation,threats regarding voting locations (note that our violent threats policy may also be relevant for threats not covered by this policy).,,Report,Tweet removal,Permanent suspension,,
133,2019-04-01,Civic integrity,Help Center,General guidelines and policies,Civic integrity policy,False or misleading affiliation,Fake accounts that misrepresents affiliation,,Report,Tweet removal,Permanent suspension,,
487,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,Voter suppression or intimidation,"Misleading claims that polling places are closed, that polling has ended, or other misleading information relating to votes not being counted",,Tweet removal,Deletion,Permanent suspension,,
488,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,Voter suppression or intimidation,Misleading claims about police or law enforcement activity related to polling places or elections,,Tweet removal,Deletion,Permanent suspension,,
489,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,Voter suppression or intimidation,Misleading claims about long lines or equipment problems at voting locations,,Tweet removal,Deletion,Permanent suspension,,
490,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,Voter suppression or intimidation,Misleading claims about voting procedures or techniques which could dissuade voters from participating in an election,,Tweet removal,Deletion,Permanent suspension,,
491,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,Voter suppression or intimidation,Threats regarding voting locations,,Tweet removal,Deletion,Permanent suspension,,
492,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,Misleading information about how to participate in the elections,Misleading information about how to vote or register to vote,,Tweet removal,Deletion,Permanent suspension,,
493,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,Misleading information about how to participate in the elections,"Misleading information about requirements for voting, including identification requirements",,Tweet removal,Deletion,Permanent suspension,,
494,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,Misleading information about how to participate in the elections,"Misleading statements or information about the official, announced data or time of an election",,Tweet removal,Deletion,Permanent suspension,,
495,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,False or misleading affiliation,"Fake accounts that misrepresent their affiliation to a candidate, elected official, political party, electoral authority, or governmental entity",,Tweet removal,Deletion,Permanent suspension,,
496,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,Exceptions,"Inaccurate statements about an elected official, candidate, or political party",,Tweet removal,Deletion,Permanent suspension,,
497,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,Exceptions,"Organic content that is polarising, biased, hyperpartisan, or contains controversial viewpoints expressed about elections or politics",,Tweet removal,Deletion,Permanent suspension,,
498,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,Exceptions,Discussion of public polling information,,Tweet removal,Deletion,Permanent suspension,,
499,2019-04-01,Civic integrity,Help Center,Twitter Rules & Policies,Civic integrity policy,Exceptions,"Using Twitter pseudonymously or as a parody, commentary, or fan account to discuss elections or politics",,Tweet removal,Deletion,Permanent suspension,,
143,2019-06-06,Coordinated harmful activity,Help Center,General guidelines and policies,Platform manipulation and spam policy,Coordinated activity,"Attempt to artificially influence conversations through the use of multiple accounts, fake accounts, automation and/or scripting",,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
144,2019-06-06,Misleading and deceptive identities,Help Center,General guidelines and policies,Platform manipulation and spam policy,Fake accounts and identity,"Using misleading account information to engage in spamming, abusive, or disruptive behavior","Use of stock or stolen profile photos, particularly those depicting other people",Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
145,2019-06-06,Misleading and deceptive identities,Help Center,General guidelines and policies,Platform manipulation and spam policy,Fake accounts and identity,"Using misleading account information to engage in spamming, abusive, or disruptive behavior",Use of stolen or copied profile bios,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
146,2019-06-06,Misleading and deceptive identities,Help Center,General guidelines and policies,Platform manipulation and spam policy,Fake accounts and identity,"Using misleading account information to engage in spamming, abusive, or disruptive behavior","Use of intentionally misleading profile information, including profile location",Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
147,2019-06-06,Misleading and deceptive identities,Help Center,General guidelines and policies,Platform manipulation and spam policy,Use of multiple accounts,Identical or similar personas,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
148,2019-06-06,Misleading and deceptive identities,Help Center,General guidelines and policies,Platform manipulation and spam policy,Use of multiple accounts,Mutually interacting accounts,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
149,2019-06-06,Misleading and deceptive identities,Help Center,General guidelines and policies,Platform manipulation and spam policy,Use of multiple accounts,Coordination to post duplicative content or create fake engagement,Posting identical or substantially similar Tweets or hashtags from multiple accounts you operate,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
150,2019-06-06,Misleading and deceptive identities,Help Center,General guidelines and policies,Platform manipulation and spam policy,Use of multiple accounts,Coordination to post duplicative content or create fake engagement,Engaging repeatedly with the same Tweets or accounts from multiple accounts that you operate,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
151,2019-06-06,Misleading and deceptive identities,Help Center,General guidelines and policies,Platform manipulation and spam policy,Use of multiple accounts,Coordination to post duplicative content or create fake engagement,"Coordinating with or compensating others to engage in artificial engagement or amplification, even if the people involved use only account",Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
138,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,A manner intended to artificially amplify or suppress information,,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
139,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Engage in behavior that manipulates or disrupts people's experience on Twitter,,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
140,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,"Using Twitter to engage in bulk, aggressive, or deceptive activity that misleads others and/or disrupts their experience",,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
141,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Commercially-motivated spam,"Drive traffic or attention from a conversation on Twitter to accounts, websites, products, services, or initiatives",,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
142,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Inauthentic engagements,Attempt to make accounts or content appear more popular or active that they are,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
152,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Artificially inflate your own or others' followers or engagement,selling/purchasing Tweet or account metric inflation,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
153,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Artificially inflate your own or others' followers or engagement,apps,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
154,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Artificially inflate your own or others' followers or engagement,reciprocal inflation,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
155,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Artificially inflate your own or others' followers or engagement,account transfers or sales,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
156,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Misusing Twitter product features to disrupt others’ experience,"sending bulk, aggressive, high-volume unsolicited replies, mentions, or Direct Messages",,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
157,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Misusing Twitter product features to disrupt others’ experience,posting and deleting the same content repeatedly,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
158,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Misusing Twitter product features to disrupt others’ experience,"repeatedly posting identical or nearly identical Tweets, or repeatedly sending identical Direct Messages",,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
159,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Misusing Twitter product features to disrupt others’ experience,repeatedly posting Tweets or sending Direct Messages consisting of links shared without commentary,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
160,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Following,follow churn,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
161,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Following,indiscriminate following,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
162,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Following,duplicating another account’s followers,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
163,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Engagement,"aggressively or automatically engaging with Tweets to drive traffic or attention to accounts, websites, products, services, or initiatives",,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
164,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Engagement,aggressively adding users to Lists or Moments,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
165,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Hashtags,"using a trending or popular hashtag with an intent to subvert or manipulate a conversation or to drive traffic or attention to accounts, websites, products, services, or initiatives",,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
166,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,Hashtags,"Tweeting with excessive, unrelated hashtags in a single Tweet or across multiple Tweets",,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
167,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,URLs,publishing or linking to malicious content intended to damage or disrupt another person’s browser (malware) or computer or to compromise a person’s privacy (phishing),,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
168,2019-06-06,Platform manipulation and spam,Help Center,General guidelines and policies,Platform manipulation and spam policy,URLs,posting misleading or deceptive links,,Report,Anti-spam challenges,Blacklisting URLs,Tweet removal,Permanent suspension
408,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,Violent extremist groups,"Groups who identify through their stated purpose, publications, or actions as an extremist group",Permanent suspension,,,,
409,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,Violent extremist groups,"Groups who have engaged in, or currently engage in, violence and/or the promotion of violence as a means to further their cause",Permanent suspension,,,,
410,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,Violent extremist groups,Groups that target civilians in their acts and/or promotion of violence,Permanent suspension,,,,
411,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,Groups affiliated to violent extremist groups,Engaging in or promoting acts for the violent extremist group,Permanent suspension,,,,
412,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,Groups affiliated to violent extremist groups,Recruiting for the violent extremist group,Permanent suspension,,,,
413,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,Groups affiliated to violent extremist groups,providing or distributing services in furtherance of progressing a violent extremist group's stated goals,Permanent suspension,,,,
414,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,Groups affiliated to violent extremist groups,Using the insignia or symbols of terrorist organizations of violent extremist groups to promote them,Permanent suspension,,,,
415,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,A collection of individuals with a shared purpose,,Permanent suspension,,,,
416,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,A collection of individuals that have systematically targeted civilians with violence,,Permanent suspension,,,,
417,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,Groups affiliated to violent extremist groups,Engaging in or promoting acts on behalf of a violent organization,Permanent suspension,,,,
418,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,Groups affiliated to violent extremist groups,Recruiting for a violent organization,Permanent suspension,,,,
419,2019-06-25,Sensitive media,Help Center,Twitter Rules & Policies,Twitter media policy,Terrorism and violent extremism policy,Groups affiliated to violent extremist groups,Providing or distributing services in furtherance of progressing a violent organization's stated goals,Permanent suspension,,,,
